overall_pick,round,pick_in_round,team,is_you,player_key,player_name,pos,adp,pos_rank,seat,reach_picks,proj_points,vbd,overall_rank,floor,upside,tail_risk,boom_prob_live,bust_prob_live,base_value
1,1,1,0,True,00-0039075,Puka Nacua,WR,2.7,1,balanced,1.7,355.77000000000004,145.62000000000003,3.0,0.17500000000000004,-0.375,-0.375,0.625,0.0625,95.38678715891517
2,1,2,1,False,00-0038542,Bijan Robinson,RB,1.6,1,autopilot,-0.4,370.42999999999995,168.78999999999996,2.0,0.33333333333333337,-0.4,-0.33333333333333337,0.5294117647058824,0.058823529411764705,90.8994169928231
3,1,3,2,False,00-0039139,Jahmyr Gibbs,RB,1.8,2,balanced,-1.2,372.2100000000001,170.5700000000001,1.0,0.40625,-0.46875,-0.46875,0.4117647058823529,0.058823529411764705,90.20992875137016
4,1,4,3,False,00-0036900,Ja'Marr Chase,WR,3.9,2,reacher,-0.1,335.52,125.36999999999998,6.0,0.1428571428571429,-0.47619047619047616,-0.4285714285714286,0.5,0.125,89.93301195915093
5,1,5,4,False,00-0033280,Christian McCaffrey,RB,5.1,3,upside_chaser,0.1,342.68,141.04000000000002,4.0,-0.05882352941176472,-0.11764705882352938,0.0,0.7058823529411765,0.0,68.83203586059831
6,1,6,5,False,00-0036963,Amon-Ra St. Brown,WR,7.2,4,safe_floor,1.2,319.41,109.26000000000002,7.0,0.30434782608695654,-0.34782608695652173,-0.30434782608695654,0.4117647058823529,0.058823529411764705,86.88475717420768
7,1,7,6,False,00-0040122,Ashton Jeanty,RB,11.9,6,balanced,4.9,274.99,73.35000000000002,14.0,0.475,-0.325,-0.425,0.17647058823529413,0.11764705882352941,77.17135420503696
8,1,8,7,False,00-0038543,Jaxon Smith-Njigba,WR,5.9,3,chalk,-2.1,337.03000000000003,126.88000000000002,5.0,0.4772727272727273,-0.4318181818181818,-0.4772727272727273,0.5882352941176471,0.058823529411764705,96.75403422216992
9,1,9,8,False,00-0038597,Chase Brown,RB,16.3,9,value_hawk,7.3,277.58000000000004,75.94000000000005,13.0,0.34782608695652173,-0.391304347826087,-0.34782608695652173,0.17647058823529413,0.0,69.66207948291874
10,1,10,9,False,00-0036358,CeeDee Lamb,WR,10.6,6,balanced,0.6,273.17,63.02000000000001,20.0,-0.15999999999999998,0.12,0.16000000000000003,0.23076923076923078,0.07692307692307693,39.879360058497056
11,2,1,9,False,00-0036322,Justin Jefferson,WR,10.3,5,balanced,-0.7,269.49,59.34,22.0,0.4375,-0.3125,-0.35416666666666663,0.058823529411764705,0.17647058823529413,76.18346430938284
