name,pos,team,adp,mean,q10,q90,upside_before,upside_after,upside_ratio,floor_before,floor_after,floor_ratio,durability_before,durability_after,durability_ratio,tail_risk_before,tail_risk_after,tail_risk_ratio,role_share,role_delta,td_regression
Bijan Robinson,RB,ATL,1.6,265.0534,124.5695,412.7662,0.2426,-0.4,1.5573,-0.1208,0.3333,0.47,-0.3635,0.3333,13.4281,0.3634,-0.3333,1.0873,0.7758,0.031,0.24
Jahmyr Gibbs,RB,DET,1.8,265.167,128.8114,408.691,0.2271,-0.4688,1.5413,-0.1053,0.4062,0.4858,-0.3532,0.4062,13.4397,0.3324,-0.4688,1.0555,0.7881,0.1032,0.5153
Puka Nacua,WR,LAR,2.7,264.106,127.9428,380.3011,0.1613,-0.375,1.44,-0.099,0.175,0.4844,-0.7284,0.075,13.4366,0.2603,-0.375,0.9555,0.6297,0.1051,0.4675
Ja'Marr Chase,WR,CIN,3.9,248.3782,120.0618,355.9178,0.093,-0.4762,1.433,-0.0493,0.1429,0.4834,-0.6076,0.0,13.3322,0.1423,-0.4286,0.9496,0.5971,0.1184,0.225
Christian McCaffrey,RB,SF,5.1,235.5861,98.5407,375.6607,0.1358,-0.1176,1.5946,-0.0829,-0.0588,0.4183,-0.4909,-0.0588,12.935,0.2187,0.0,1.1763,1.0,0.1303,0.1765
Jaxon Smith-Njigba,WR,SEA,5.9,257.9518,132.0584,370.0636,0.132,-0.4318,1.4346,-0.0516,0.4773,0.5119,-0.1834,0.4318,13.8935,0.1836,-0.4773,0.9227,0.5474,-0.0064,0.3882
Amon-Ra St. Brown,WR,DET,7.2,241.7415,119.1714,353.3155,0.0957,-0.3478,1.4615,-0.0183,0.3043,0.493,-0.1294,0.2609,13.7155,0.114,-0.3043,0.9686,0.4839,0.0173,0.2282
Jonathan Taylor,RB,IND,7.7,220.8169,92.7332,348.9212,0.0492,-0.25,1.5801,-0.0363,0.0278,0.42,-0.0738,0.0833,13.1688,0.0855,-0.1389,1.1602,1.0,0.127,0.6165
De'Von Achane,RB,MIA,9.5,223.6211,101.1355,359.9659,0.0924,-0.0526,1.6097,-0.0125,0.2105,0.4523,-0.3152,0.0,12.9623,0.105,-0.2105,1.1575,1.0,0.2406,0.3725
Justin Jefferson,WR,MIN,10.3,213.8036,108.5148,313.159,-0.0101,-0.3125,1.4647,0.0864,0.4375,0.5075,0.2431,0.2292,13.688,-0.0965,-0.3542,0.9572,0.4907,0.0524,-0.1059
CeeDee Lamb,WR,DAL,10.6,189.0967,70.2844,295.9233,-0.0062,0.12,1.5649,0.0303,-0.16,0.3717,-1.3026,-0.24,11.7887,-0.0364,0.16,1.1932,0.3994,0.1283,-0.0308
Ashton Jeanty,RB,LV,11.9,211.5963,105.8749,334.3425,0.004,-0.325,1.5801,0.0721,0.475,0.5004,0.4509,0.475,13.5791,-0.0681,-0.425,1.0797,0.7204,-0.1254,0.2235
Drake London,WR,ATL,12.8,189.3301,66.6756,302.2239,0.0261,0.1731,1.5963,0.01,-0.1731,0.3522,-1.6051,-0.2885,11.4895,0.0161,0.1731,1.2441,0.7514,0.2265,0.3167
A.J. Brown,WR,NE,13.6,189.162,73.1962,295.9055,-0.0065,0.037,1.5643,0.0453,-0.0741,0.3869,-0.4586,-0.1481,12.6336,-0.0519,0.0741,1.1773,0.6045,0.1746,0.2933
James Cook III,RB,BUF,13.7,203.1829,83.4474,327.5359,-0.0052,-0.0476,1.612,0.008,-0.0952,0.4107,0.2052,0.1905,13.229,-0.0132,0.0476,1.2013,0.7877,0.134,0.3929
Derrick Henry,RB,BAL,16.0,198.0602,81.3001,323.3174,-0.0098,0.0682,1.6324,0.0234,-0.1136,0.4105,-0.2514,-0.1136,12.7088,-0.0332,0.0682,1.2219,1.0,0.3413,0.4729
Chase Brown,RB,CIN,16.3,207.3775,95.7127,326.1957,-0.0237,-0.3913,1.573,0.0461,0.3478,0.4615,0.1946,0.2609,13.2705,-0.0698,-0.3478,1.1114,1.0,0.2302,0.2447
