team,season,head_coach,offensive_coordinator,play_caller,hc_calls_plays,in_house,notes
ARI,2026,Mike LaFleur,Nathaniel Hackett,Mike LaFleur,1,0,"Mike LaFleur replaces Jonathan Gannon as head coach, bringing Shanahan-tree principles. Nathaniel Hackett arrives as OC, but LaFleur retains play-calling."
ATL,2026,Kevin Stefanski,Tommy Rees,Kevin Stefanski,1,0,"Kevin Stefanski replaces Raheem Morris, importing his wide zone/play-action offense. Tommy Rees coordinates while Stefanski resumes primary play-calling."
BAL,2026,Jesse Minter,Declan Doyle ,Declan Doyle ,0,0,Jesse Minter succeeds John Harbaugh as head coach. Declan Doyle arrives as OC and becomes Baltimore's new offensive play-caller.
BUF,2026,Joe Brady,Pete Carmichael Jr.,Joe Brady,1,1,"Joe Brady shifts from offensive coordinator to head coach. Pete Carmichael Jr. joins as OC, but Brady maintains offensive play-calling continuity."
CAR,2026,Dave Canales,Brad Idzik,Dave Canales,1,1,No philosophical changes. Dave Canales keeps head coaching and play-calling duties while Brad Idzik remains a complementary offensive coordinator.
CHI,2026,Ben Johnson,Press Taylor,Ben Johnson,1,1,"Ben Johnson enters Year 2 as head coach. Press Taylor replaces Declan Doyle as OC, but Johnson continues calling Detroit-style offense."
CIN,2026,Zac Taylor,Dan Pitcher,Zac Taylor,1,1,Complete continuity. Zac Taylor remains head coach and play-caller with Dan Pitcher returning as offensive coordinator for another season.
CLE,2026,Todd Monken,Travis Switzer,Todd Monken,1,0,"Todd Monken replaces Kevin Stefanski as head coach, bringing a more vertical passing philosophy. Travis Switzer joins as first-time NFL offensive coordinator."
DAL,2026,Brian Schottenheimer,Klayton Adams,Brian Schottenheimer,1,1,"Brian Schottenheimer returns for Year 2, keeping play-calling duties. Klayton Adams maintains OC job under Brian."
DEN,2026,Sean Payton,Davis Webb,Davis Webb,0,1,"Sean Payton relinquishes play-calling for the first time in Denver, handing offensive control to first-year coordinator Davis Webb."
DET,2026,Dan Campbell,Drew Petzing,Drew Petzing,0,0,"John Morton was fired mid-season and Dan Campbell assumed playcalling duties temporarily. Drew Petzing arrives from Arizona, installing his own scheme and assuming Detroit's offensive play-calling duties."
GB,2026,Matt LaFleur,Adam Stenavich,Matt LaFleur,1,1,"Matt LaFleur retains complete offensive control. Adam Stenavich remains offensive coordinator, preserving Green Bay's long-running offensive structure."
HOU,2026,DeMeco Ryans,Nick Caley,Nick Caley,0,1,Nick Caley enters year 2 as offensive coordinator and has play-calling responsibilities under DeMeco Ryans.
