player,position,team,prev_team,event_type,mechanism,adp,new_play_caller,play_caller,new_qb,qb,arrivals,departures,evidence,confidence,notes
# Phase 16.5 — 2026 situation-change event board. ONE ROW PER AFFECTED DRAFTABLE PLAYER.
# GENERATED by situation/events.py on 2026-07-25 — do NOT hand-edit rows. Re-run
#   `uv run python steps/phase16_5_situation_events.py --write`; put research in that step's
#   ANNOTATIONS block, which is merged onto the derived rows.
#
# WHY GENERATED: the first cut was hand-assembled from offseason trackers (9 rows). It missed 16 of
#   the 23 team changes among draftable skill players — including A.J. Brown PHI->NE at ADP 13.6 —
#   while carrying Tyler Allgeier at ADP 167, and had no row for the two highest-ADP players in the
#   league (Bijan Robinson 1.6, Jahmyr Gibbs 1.8), both with a changed backfield. A tracker recap is
#   not a frame over the players you actually draft.
#
# SCOPE: FFC PPR 12-team board, snapshot 2026-07-24, skill positions, ADP <= 200.
#   138 events over 30 teams.
# DERIVED (machine-checked): player, position, team, prev_team, event_type, adp, new_play_caller,
#   play_caller, new_qb, qb, arrivals, departures. Team assignment is DUAL-SOURCED (adp_snapshots +
#   consensus_projections, 0 disagreements); prev_team from weekly 2025; play-caller columns
#   from 16.3b's reference/coaches.csv.
# HAND-RESEARCHED: mechanism, confidence, notes (evidence=derived+web on those rows).
#
# event_type — strongest applicable wins:
#   team_change    on a different team than last season
#   new_to_league  on the board with no 2025 snaps (rookie, or missed the year)
#   room_change    stayed put, but a same-position draftable player arrived or left
#   context_only   nothing moved around him, but his team changed play-caller and/or quarterback
# mechanism: trade | free_agent | draft | return | unknown. 'unknown' = NOT YET RESEARCHED.
# new_qb: 1 also when the team has NO quarterback on the ADP board at all (qb='(unsettled)':
#   2026 ARI/ATL/CLE/NYJ/PIT) — those are the least settled rooms, not missing data to skip.
#   Known false positive: fires when an incumbent missed time and a backup led 2025 attempts
#   (WAS, Jayden Daniels vs a Marcus Mariota baseline). Left visible, not silently patched.
# arrivals/departures: same-position draftable churn in the room he plays in THIS season.
#   Departures include 2025 producers (>=100 car+tgt+att) who left the pool.
#
# ★ USER REVIEW: the derived columns are exhaustive and machine-checked. The review surface is the
#   mechanism/confidence/notes columns: 111 rows still at mechanism=unknown, 1 below
#   confidence=high. `confidence` grades the ANNOTATION only — the derived facts on every row are
#   dual-sourced regardless of what it says.
Bijan Robinson,RB,ATL,ATL,room_change,unknown,1.6,1,Kevin Stefanski,1,(unsettled),Brian Robinson Jr.,Tyler Allgeier,derived,high,
Jahmyr Gibbs,RB,DET,DET,room_change,unknown,1.8,1,Drew Petzing,0,Jared Goff,Isiah Pacheco,David Montgomery,derived,high,
Christian McCaffrey,RB,SF,SF,room_change,unknown,5.1,0,Kyle Shanahan,0,Brock Purdy,,Brian Robinson Jr.,derived,high,
Jaxon Smith-Njigba,WR,SEA,SEA,context_only,unknown,5.9,1,Brian Fleury,0,Sam Darnold,,,derived,high,
